village_id,slug,name,country,lat,lng,execution_title,killing_sites_count,kind_of_place,memorials,period_of_occupation,number_of_victims,other_metadata,witness_interview,historical_note,holocaust_by_bullets,portal_url
718,radyvyliv-radzivilov-radziwillow-rivne-ukraine,"Radyvyliv (Radzivilov, Radziwillow)",Ukraine,50.065418,25.150841,Destruction of Jews in Radyvyliv,4 Killing site(s),"Sandy place called “Sukhodolye” (1); Forest (2); Field (3,4)",Yes,1941-1944,"3,000-4,000",,"Volodymyr P., born in 1929, remembers life under the occupation: “When you entered the town, on the right side there was a ghetto for the workers. Those were the specialists who did all kinds of handcraft, like belt makers or blacksmiths. In one word, they were the specialists. In the ghetto, located on the left side, there was the intelligentsia, those who worked in the banks, pharmacies, schools and hospital. So, this Matveyko took away their money! He summoned the Rabbi and ordered him to gather 2kg of gold. How do I know that? My father used to work with Matveyko and he told him that. He said that, for example, tomorrow the Jews would bring him 2kg of gold in order to not be shot. In that way, he was taking their valuables and money for about six months until they had nothing more to give. And then, in 1942, the massacre was conducted.” (Testimony N°1782, interviewed in Radyvyliv, on July 31, 2013)","Radyvyliv (former name Chervonoarmeysk) is a town located about 88 km south west of Rivne. The first record about the Jewish community dates back to the late 16th century. In the 17th century, it suffered from the Khmelnitsky pogroms during which the Jewish houses were looted. The Jewish community was rebuilt within a short time. The construction of the local factories considerably helped reviving the economy and increasing the Jewish population. In 1857, there were nine synagogues and eight cheders. By 1897, 4,322 Jews lived in Radyvyliv, comprising 60 percent of the total population. In 1914, there was a Jewish hospital in the village, the Jews possessed six wooden warehouses, about 120 shops, and a major part of local plants and factories. The majority lived off small trade business of timber, grains, and agricultural goods. There were many artisans among the Jews, for instance, there were tailors, shoemakers, blacksmiths, and carpenters. Some Zionist cultural and political movements operated in the town until 1939 when they were forbidden under the Soviet rule. Due to several pogroms and the poor economy in 1918-1919, the Jewish population declined. In 1921, only 2,036 Jews lived in the town. On the eve of the war, there were about 3,120 Jews in the village. The Germans occupied the town on June 29, 1941. According to the witness, a large number of Jewish refugees arrived to the village before the German arrival.","Several days after the occupation, the first execution was conducted. On July 5, 1941, 27 Jews alleged of being communists were shot in the forest in the direction of Brody. Shortly after, all Jews were marked with yellow distinguishing badges and their valuables and property were confiscated. Their rights were restricted and they were forbidden to leave the town limits. They kept living in their houses until the creation of the ghetto in the spring of 1942. In February 1942, a number of Jewish specialists were transferred to the camp near Vinnitsa. The ghetto was created on April 9, 1942 and numbered about 2,600 Jews from Radyvyliv and nearby villages. The ghetto was located on modern day Pochayivska street. It was fenced in with barbed wire and divided in two parts: one for those fit to work and one for those unfit to work. The Jews fit to work were subjected to forced labor on airfield or railroad construction. On May 29, 1942, the first mass execution was conducted against about 1,350 Jews unfit to work. They were taken to a sandy place, called Sukhodolye, where they were shot in ditches dug by Soviet prisoners of war. The place was located close to the railroads behind the cemetery. Many of those unable to walk were shot on the spot inside the ghetto. According to the eyewitnesses interviewed by Yahad, the Jews were shot in small groups of four orfive inside the pit. Before getting into the pit, they were forced to undress. The babies were not shot, but smashed against the trees and thrown into the pit. A number of Jews managed to flee. The second Aktion was conducted on October 6, 1942, when the 950 remaining Jews from the ghetto were shot at the same place in Sukhodolye. In all, there were five mass graves. About 500 Jews managed to escape but the large majority of them were caught and shot at the Jewish cemetery or elsewhere throughout the town. Only 51 Jews survived the Holocaust. For more information about the execution in Brody please refer to the corresponding profile",http://www.yahadmap.org/en/radyvyliv-radzivilov-radziwillow-rivne-ukraine/village-718
719,kostopil-kostopol-rivne-ukraine,Kostopil (Kostopol),Ukraine,50.535938,26.272591,Execution of Jews in Kostopil,3 Killing site(s),Forest,Yes,1941-1944,"About 13,000",,"Stepan V., born in 1929, remembered: “YIU: Before the creation of the ghetto, did the Jews continue to live freely in their houses? Stepan: Yes, they lived in their houses. The Germans looted them, they took all their gold. A commandant made a speech saying that the Jews wouldn’t be shot unless they give their gold! Back then there were big basins where people used to shower. The Jews took some of them, filled them with gold and put them on the cart. Then, they pulled the cart with gold towards the house located on the Pervomayskaya street where this commandant lived.  It was a one level building. The commandant went out on the balcony with his big dog and when he saw the pile of gold he said: ""Mein Gott ! Mein Gott!"". He ordered to open the gate so the Jews could pull the cart inside the yard.  Behind this house, there was a Ukrainian cemetery where the Jews who brought the gold were taken and shot. We climbed over the fence and were watching…”  (Testimony n°1794, interviewed in Kostopil, on August 4, 2013)","Kostopil is located 29 kilometers northeast of Rivne. The first records about the Jewish community go back to the late 18 th century. By 1847, 153 Jews lived in the town and by the end of 19 th century its population increased due to the newly built railway station. The majority of Jews were merchants or artisans, like tailors or hat and shoe makers. There were flour mills, sawmills and press oil.  There were three synagogues in the town and Jewish schools, including a private school for girls and kindergartens. In 1906, the town was largely destroyed by fire but with the help of JOINT organization, it was rebuilt soon after.  Between the two world wars, Kostopil remained under Polish rule. Many cultural and religious Zionists institutions operated in the town.  There were many factories, for example a glass factory, furniture factory, brick factory and lumber yards which were owned by Jews. In the fall of 1939, when the town was taken over by the Soviet Union the private businesses were nationalized and many Jewish cultural and religious institutions were banned. By that time many refugees from Poland settled down in the town bringing the Jewish population up to 4,500 Jews on the eve of the war.  The town was occupied by the Germans in early July 1941.  Only 10 percent of the prewar Jewish population managed to flee to the East by that time.","Immediately after the occupation a pogrom was organized during which 6 Jews were killed and Jewish houses and shops were plundered.  In summer or fall of 1941, all Jews were registered and marked with yellow distinguishing patches. They continued to live in their houses but their rights were restricted. They were also subject to performing different kinds of forced labor.  The first Aktion was conducted rather soon, on August 16, 1941 by SD and Security Police unit who arrived for this purpose from Rivne. Under the pretext of being taken for forced labor, 480 Jews, including 20 women, were taken outside the town and shot in the forest.  A ghetto was created on October 5, 1941 and existed until its liquidation in late August 1942.  The ghetto, which numbered about 4,500 inmates from Kostopil and neighboring villages, was divided in three sections: one for male inmates fit to work; another one for women, children and elderly people, and the third one for artisans and specialist. All three parts of the ghetto were fenced in with barbed wire. The second Aktion was conducted on November 10, 1941, when about 1,400 Jews, mostly women, children, and elderly people, were shot outside the town, 2km away in the forest. The third Aktion was carried out on August 26, 1942, when the ghetto was liquidated. During this Aktion, about 4,000 Jews, including 2,500 from Kostopil and others from nearby villages that are presently integrated in Kostopil.  Supposedly, at the same time, some of the Jews were taken from Kostopil to Lisopil where they were shot. Before the liquidation of the ghetto, another mass execution was conducted in the forest of Kostopil. About 5,000 Jews from the Rivne ghetto were brought by train and murdered in the pits dug in advance on July 13-14, 1942. The Aktion was conducted by SD and Security Police from Rivne.  In all 13,000 Jews were killed in the entire district of Kostopil and only 270 Jews managed to survive the Holocaust. For more information about the execution of Jews in Rivne and Lisopil please refer to the corresponding profile",http://www.yahadmap.org/en/kostopil-kostopol-rivne-ukraine/village-719
720,shepetivka-shepetovka-khmelnytskyi-ukraine,Shepetivka (Shepetovka),Ukraine,50.119091,27.020241,Execution of Jews in Shepetivka,1 Killing site(s),Woods,Yes,1941-1944,"About 4,000",,"Vasyl B., born in 1926: “Immediately after the occupation, many Jews were brought here from the surrounding villages, like Oleksyntsi, Shepyntsi  and Velyky Hlybochok. Later, they were all displaced to the ghetto which was fenced in with barbed wire. They moved to the ghetto by themselves taking only the most necessary things. The fence which was built by the Jews themselves and some requisitioned local men was about 2m high. It was strictly forbidden to leave ghetto’s territory. The entrance was guarded by local police. If someone was found outside the ghetto he was shot dead on the spot. All the Jews were marked with yellow distinguishing patches on their clothes, so it was easy to recognize them.” (Witness n°1791, interviewed in Shumsk, on August 3, 2013)","Shepetivka is located 100 km away from Khmelnytskyi and 270 km east of Kyiv. The first record about Jewish community goes back to the end of the 15 th century, however the majority if not all of the community was destroyed during Khmelnytskyi uprising in 1648. By 1847 the community was reborn and numbered 1,042 Jews, and by 1897 it represented almost the half of the total population, 3,880 Jews lived in the town. Before 1917 there were seven synagogues and four cheders. The majority of Jews lived off small scaled trade or were artisans. Once the town was taken over by Soviet union all the synagogues and religious institutions were closed. On the eve of the war 4,844 Jews making up only 20% of the total population lived in the town. Shepetivka was occupied by Germans on July 5, 1941. By that time about 1,500 Jew managed to evacuate leaving behind 3,200 Jews, according to Martin Dean.","Shortly after the occupation all the Jews were registered and marked with yellow distinguishing badges. The first masse execution took place on July 28, 1941, when about 800 Jews, mostly male, were rounded up under the pretext of being taken to forced labor, were taken to the forest to be shot. The aktion was conducted by Reserve Police battalion n°45. On August 23, 1941, and September 1, 1941, the same battalion shot dead 61 and 45 Jews respectively. The ghetto was created only December 1941 and numbered not only local Jews, but also those who were forced to move from the nearing villages, for instance Sudilkov. The ghetto consisted of three streets and was fenced in with barbed wire. Due to overcrowding and poor living conditions, typhus broke out. Many Jews, especially elderly and children died. According to the sources, there were several isolated killings of the ghetto inmates during all its existence. On June 25, 1942, another large scale execution was conducted against 2,500 Jewish inmates, mainly children, women and elder people. On this day, the victims were taken on trucks to Tsvetukha forest outside the town to be shot. Before being shot they were forced to strip naked and then in groups of three or four were lined up at the edge of the pit. The remaining 500 Jewish specialists and their families were shot on September 10-11, 1942, at the same execution site.  Besides the Jewish victims, there were non-Jews who were shot at the same place.",http://www.yahadmap.org/en/shepetivka-shepetovka-khmelnytskyi-ukraine/village-720
721,shumsk-szumsk-ternopil-ukraine,Shumsk (Szumsk),Ukraine,50.068958,26.064100,Execution of Jews in Shumsk,1 Killing site(s),Wasteland,Yes,1941-1944,"2,432",,"Elisaveta K., born in 1914: ""All the Jews were confined into the ghetto that was set up in the town’s Jewish district. It was surrounded by a three-meter-high wooden fence topped with barbed wire. I remember the Jews being taken to a sawmill to perform forced labor. Between 50 and 100 people, men and women, were marched in a column guarded by policemen in dark blue uniforms. The Jews walked in silence, some of them were crying. Despite the fact that they were starving, they were not allowed to take any food offered by people in the street."" (Testimony N°YIU1790U, interviewed in Shumsk, on August 3, 2013)","Shumsk is located about 90 km (56mi) northeast of Ternopil, in the historic region of Volhynia. The city was founded in the 16 th century as a part of Kingdom of Poland where it remained until the end of the 18 th century, before being taken over by the Russian Empire. The first mention of Jews dates back to the first half of the 18 th century. In 1897, there were 1,962 Jewish residents, comprising about 87% of the total population. By 1921, when Shumsk was returned to Poland, 1,717 Jews lived in the city. They were mainly merchants, engaged in the grain and lumber trade, while some were artisans and skilled workers, such as school teachers and doctors. Hassidism was the dominant religion, but the Zionist movement was active during the interwar period. The Great Synagogue, built in 1781, was one of five synagogues of Shumsk. In 1939, following the outbreak of the war, Shumsk was incorporated into the Ukrainian Social Soviet Republic as a result of the Molotov-Ribbentrop Pact. Fleeing Nazi-occupied  Poland, hundreds of Jewish refugees found shelter in the town. A number of them, though, were deported to Siberia in 1940. On the eve of the war, there were over 2,000 Jews living in Shumsk. Just a few Jewish families were able to evacuate to the East at the beginning of the German occupation.","Shumsk was occupied by German troops on July 3, 1941. After a brief period of military administration, the town was taken over by a German civil administration in September 1941. A German Gendarmerie post and Ukrainian police unit were established in Shumsk. Persecution of the Jewish population started during the first days of the occupation, when several Jewish residents were murdered in a pogrom conducted by locals. The following months were marked by the implementation of anti-Jewish measures. Wearing distinctive symbols became compulsory and trading was prohibited. The Jews were forced to hand over valuables and carry out forced labor such as repairing roads, carrying out agricultural work and clearing snow. By March 12, 1942, local Jews alongside those from nearby villages, over 2,000 people, were enclosed within the ghetto established in the Jewish quarter of Shumsk. It was surrounded by a wooden fence topped with barbed wire. Ghetto inmates were forbidden to leave its territory, except for some Jewish craftsmen, who were subjected to forced labor in the workshops created outside the ghetto. Overcrowding, hunger and widespread diseases resulted in a death of a number of its detainees. The ghetto was liquidated over the course of an Aktion conducted between 12 and 20 August, 1942, by Security police and SD from Rivne, with the help of Gendarmerie members and local policemen. The first 11 victims were murdered on the night of August 8, 1942, while trying to escape from policemen who surrounded the ghetto. On August 12, 1942, as soon as three pits had been dug on the outskirts of the town, several hundred meters behind the orthodox cemetery, 1,792 ghetto inmates were rounded up near the synagogue before being taken to the execution site in a column to be shot. According to research results, the bodies of the victims that had been killed on their way to the execution site were loaded onto carts that were following the column, and taken to the mass graves to be buried with other victims. The Aktion continued over the course of the following days, as Jews in hiding were captured and killed at the same location. The last ghetto inmates were killed on October 1, 1942, including those who were spared in order to clear up the ghetto territory. Altogether, 2,432 Jewish victims were executed in three separate pits, located near the Viliia River. Just a few Shumsk Jews managed to survive the Holocaust.",http://www.yahadmap.org/en/shumsk-szumsk-ternopil-ukraine/village-721
723,lisopil-rivne-ukraine,Lisopil,Ukraine,50.498798,26.275299,Execution of Jews from Kostopil in Lisopil,1 Killing site(s),Woods,Yes,1941-1944,Unknown,,"Apolinaria M., born in 1930, remembered, “Many Jews managed to escape beforehand. As a result, other Jews were forced to wear black patches on their clothes. I remember one Jew came to our house. My mother took off this patch and threw it in the fireplace. Without this sign, they could not know whether he was a Jew or a Pole or a Ukrainian. After the execution, a group of 18 Jews came to see my father. There were women, men and children among them. My father knew them very well. It was dangerous to hide Jews because everyone would be murdered if they were caught. However, my father hid them in different places, but the majority stayed in the barn. My mother secretively brought them food.” (Testimony N°1796, interviewed in Lisopil, on August 4, 2013)","Lisopil is located about 30 km north east of Rivne. Little is known about the prewar Jewish community. According to the local witnesses, a number of Jews lived in the village.  They worked in agriculture and all of the children, Jewish and non-Jewish, went to the same school. The Germans occupied the village at the end of June, 1941.","According to the witness, the Jews were moved to the Kostopil ghetto, created on October 5, 1941. The ghetto numbered about 4,500 inmates from Kostopil and neighboring villages. It was divided in three sections: one for male inmates fit to work; another one for women, children, and elderly people, and the third one for artisans and specialist. All three parts of the ghetto were fenced in with barbed wire. Apparently, a number of Jews was taken from the Kostopil ghetto and brought back to Lisopil where they were murdered in the woods. It was impossible to establish the exact day when the execution took place, but most likely was carried out in late August 1942.  According to an eyewitness of the shooting interviewed by Yahad, the Jews were marched from Kostopil while escorted by Germans. There were men, women, and children among them. The pit, which was 2m deep, was dug on the night before by requisitioned locals. The Jews had to walk on the plank put across the pit in groups and the Germans fired at them with sub machine guns. There were about 25 Germans. For more information about the execution in Kostopil please refer to the corresponding profile",http://www.yahadmap.org/en/lisopil-rivne-ukraine/village-723
724,berezne-berezno-rivne-ukraine,Berezne (Berezno),Ukraine,51.004452,26.446150,Execution of Jews in Berezne,1 Killing site(s),Field,Yes,1941-1944,"3,200",,"Mariana T., born in 1930, happened to see the mass shooting, “The Jews were taken to the site by policemen, we watched from a little further. When the Jews began to scream, the policemen forbid us from approaching. There were Germans and local policemen. The Jews were taken to the pit in groups. While one group was about to be shot others watched what was happening. Do you understand? They could see everything. But they didn’t try to escape. Only children cried, but the adults were calm. Before get into the pit they were forced to strip naked. Once in the pit, they laid down facing the ground one close to another. So, there was no space between them. They went down into it and were shot. The shooting lasted for at least three days because many Jews went into hiding” (Testimony n°1798, interviewed in Berezne, on August 5, 2013)","Berezne is a village located on the banks of the Sluch river, 65 km northeast of Rivne. The first records about the Jewish community dates back to the late 17 th century. In 1765, there were 267 Jews in the town.  In 1897, there were 2,765 Jews. There were a couple of synagogues, a Jewish cemetery, and a cheder . The majority of Jews lived off small scale trade by owning their shops or handcrafting. In 1917, a Tarbut school was opened. By early 20 th century, the Jews represented almost 60 percent of the total population.  Some cultural and youth movements such as Perec and Zionist operated in Berezne and gave their theater performance.  In 1939, the territory was taken over by the Soviet Union and all Jewish movements and institutions were forbidden.  The Germans occupied Berezne on July 6, 1941.","The Germans occupied Berezne on July 6, 1941.  Shortly after the occupation, several Jewish shops and houses were robbed. All Jews were registered and forced to wear distinctive yellow Stars of David on their chests and backs.  They continued to live in their houses but were systematically subjected to different abuses and forced labor.   In the early fall of 1941, about 300 Jews were sent to the labor camp in Kostopil. On October 6, 1941 two different ghettos were established, one for the specialists and their families and another for all the others.  In all, they numbered about 1,500 Jews. The principal ghetto was surrounded with a fence and barbed wire.  The Jewish community was exterminated in the course of several days in one mass shooting. It started on August 25, 1942, and was conducted by an SD unit that arrived from Rivne, assisted by German gendarmerie and local police. During this Aktion 3,680 people, including 3,200 Jews from Berezne and nearby villages, were killed in the fields where ditches were dug by requisitioned people. According to the eyewitnesses’ accounts interviewed by Yahad, the Jews were shot in small groups at the bottom of the pit. Before getting inside and laying down facing the pit, they had to strip down.  The adults and children were shot in different ditches. In all, according to the Soviet commission there were five mass graves.  About 200 Jews managed to escape during this Aktion . However, over 20 Jews were caught and shot in the forest in December 1942.",http://www.yahadmap.org/en/berezne-berezno-rivne-ukraine/village-724
725,rafalivka-rafalovka-rivne-ukraine,Rafalivka (Rafalovka),Ukraine,51.196049,25.588680,Execution of Jews in Rafalivka,1 Killing site(s),Forest,Yes,1941-1944,"About 3,000",,"Natalia S., born in 1928, is an eyewitness to the execution. “When we heard the people screaming, we went to take a look at what was happening. When we arrived, we stopped about 100m away. We saw the column of about 200 Jews escorted by two Germans.  They walked calmly in groups by families, women, men, children and elderly people.  Once on the site, the Jews were stopped not far away from the pit and then in smaller groups they were taken to the pit and shot with submachine guns. Before being shot, the Jews were forced to undress and throw the clothes on a pile. I saw only the first group being shot. Because when they started to fall, I got scared and ran away. My mother, along with other villagers, was requisitioned to fill the pit. She told me that when they finished covering it, the ground continued to move.” (Testimony N°1804, interviewed in Sukhovolya, on August 6, 2013)","Rafalivka is located about 85 km north of Rivne. The first records about the Jewish community dates back to the 16 th century. The town is composed of two parts: the Stara , or ‘old’ and the Nova, or ‘new’ Rafalivka, located 12 km away from each other. In 1847, 644 Jews lived in the town. Due to the newly built railway station, the Jewish population in both settlements grew to 1,054. Jews comprised half of the total population. Between the two world wars, Rafalivka remained under the Polish rule. The majority of Jews lived off handcrafting or trading timber and wood, which became an important business in the 1920’s. Some owned sawmills and shops.  There was also a Jewish Tarbut school and three synagogues. The Zionist cultural and political movements operated in the town until 1939, when it was taken over by the Soviet Union and all parties and movements were banned. It is believed that, on the eve of the war, the Jewish community increased from the arrival of the Jewish refugees from Poland. The Germans occupied the town in the middle of July 1941.","Several Jewish homes and stores were plundered and destroyed by the local population during the period between the Soviet retreat and the German occupation. Shortly after the occupation, the whole Jewish population was forced to wear yellow distinctive badges. Although they continued to live in their houses, they were forbidden to leave the town limits and were subject to performing different kinds of forced labor. On May 1, 1942, a ghetto was created in Nova Rafalivka. There were about 2,500 Jews from Nova Rafalivka and surrounding villages, including Stara Rafalivka, Olizarka, and Zholudsk. According to some sources, an underground group was created in the ghetto. On August 29, 1942, the ghetto was liquidated. Approximately 2,250 Jewish inmates were escorted to the forest, located about 3km away from Nova Rafalivka, where the pits had been dug. After being forced to undress, they were shot in groups of 20 to 30 people. According to the account of an eyewitness to the execution interviewed by Yahad, the Jews had to get inside the pit and kneel down. The pit was covered by the requisitioned villagers. Several isolated killings took place in the following days, as those Jews who had managed to hide were found and killed. Only 30 Jews from the prewar Jewish population survived the Holocaust.",http://www.yahadmap.org/en/rafalivka-rafalovka-rivne-ukraine/village-725
726,dubrovytsia-dubrovitsa-dombrovitza-dabrowica-rivne-ukraine,"Dubrovytsia (Dubrovitsa, Dombrovitza, Dabrowica)",Ukraine,51.351299,26.332970,Execution of Jews in Dubrovytsia,1 Killing site(s),Clearing,Yes,1941-1944,Hundreds,,"Stepan L., born in 1930, remembered, “When one pit was filled, they dug another one one week later. At this moment the Jews were still living in the ghetto. One day in the morning, my father went to the barn where he saw a Jewish family. They escaped from the ghetto and they came to hide in our barn, because our house was the last one, at the edge of the village. We knew this family because they lived not far away from us. The father of that family was a tailor before the war.  He said to my father: “Stepan, I will stay here until the evening and then we will go to hide in the forest”. Then, my father brought more hay to hide them and some food. When we woke up the following morning, they had already left. They must have hidden in the forest. I don’t know what happened to them after that.” (Testimony N°1807, interviewed on August 7, 2013 in Dubrovytsya)","Dubrovytsya is located 114 km north of Rivne. The first records about a Jewish community date back to the 16 th century. In 1921, 2,536 Jews lived in the town and by 1937 it reached 3,225 Jews, comprising 43 percent of the total population. There were several synagogues, a Jewish cemetery, and Tarbut school. The Zionist movement was very active in the town. The majority of Jews lived off small scaled trade and handcraft, such as tailoring and shoemaking.  Between the two world wars the town was under Polish rule and was taken over by the Soviet Union in 1939. At that time all Jewish cultural and religious institutions were closed.  The town was occupied by German troops on July 6, 1941. Before the German arrival, about 200 Jews managed to evacuate.","Straight after the Germans arrival, a pogrom was organized but none of Jews were killed. However, their belongings and shops were looted. Soon after that, all Jews were registered and marked with yellow distinguishing badges.  The Jews continued to live in their houses, although they were forbidden to leave the limits of the village.  The men were subject to performing heavy physical labor at the railway station and women were taken to do farm work. The ghetto was created in April 1942 and existed until its liquidation in late August 1942.  By the end of April, about 4,327 Jews lived in the ghetto including a couple hundred Jews brought from Kolky. According to the witness, interviewed by Yahad, the ghetto was surrounded by two meters of barbed wire. On August 25-26, 1942, all Jews from the ghetto were supposed to be transferred to Sarny. During the transfer 1,500 managed to escape, but only about 500 succeeded in reaching the forest. Others were captured. Several hundred could reach the ghetto in Vysotsk, but unfortunately they were killed one week after, during the liquidation of the Vysotsk ghetto.  Those who were transferred to Sarny, estimated about 3,000 Jews, were killed in Sarny along with local Jews on August 27, 1942. During the month of September, the Germans and local police continued to search for the escapees. Those who were found were shot dead. Only 50 Jews from the prewar population managed to survive the war by joining the partisans or hiding in the forests.",http://www.yahadmap.org/en/dubrovytsia-dubrovitsa-dombrovitza-dabrowica-rivne-ukraine/village-726
727,lyubar-liubar-zhytomyr-ukraine,Lyubar (Liubar),Ukraine,49.564178,27.483101,Execution of  Jews in Lyubar,2 Killing site(s),"Field, place called ""Ladiva Vilshyna""/Sand quarry",Yes,1941-1943,"2,086",,"Vasyl M., born in 1926, recounted: “The majority of the Jews were shot in a sand quarry outside the village. I didn’t see the shooting. But, when I was working in the field, I saw the Jews being brought in trucks. The specialists and artisans were shot the last because the Germans needed their services. So I was about 500m from the killing site. I saw a truck stop and a man opened the canvas covering, and the Jews started to get off. There were only men among the victims. I can’t tell you how many there were because I didn’t count them, but they were numerous. After a while, we heard the bursts of gunfire. I guess they were shot with submachine guns.” (Witness n°1709, interviewed in Yurivka, on May 30, 2013)","Lyubar, a former Jewish agricultural colony, is located 80km southwest of Zhytomyr.  The Jewish community dates back to the 15th century. In the course of its history, several pogroms were carried, one in the middle of 17 th century by Cossacks and another in 1920. On the eve of the war, half of the population was Jewish. Due to the sizable Jewish population there were several synagogues, a Jewish hospital, and theater. The majority of the Jews lived off of trade or handcrafts. The town was occupied by Germans in early July 1941. By that time, 15% of the Jewish population had evacuated or in the case of young men were enrolled in the Soviet army.","Immediately after the Germans’ arrival, an open ghetto was established in mid July 1941. All Jews were forced to wear armbands and all contact with the local population was prohibited. Due to poor living conditions and lack of food, many Jewish inmates died. There were three major Aktions against Jews carried out by the reserve police battalion and police regiment, which began one month after the Germans’ arrival. During the first Aktion , carried out on August 9, 1941, 300 men were taken away under the pretext of forced labor and shot close to the village of Yurovka. The second and the largest Aktion took place in the middle of September, aimed at liquidating the remaining Jews from the ghetto. On this day, over 1,000 Jews were murdered in the sand quarry by the Reserve Police Unit, helped by local police. The 250 specialists and artisans, who were first detained at the school building, were killed last, at the end of October 1941. According to the sources, in addition to the local Jews, Jews from Polonne, Grytsiv, Ostropil, and Slavuta were killed in a sand quarry in Lyubar.",http://www.yahadmap.org/en/lyubar-liubar-zhytomyr-ukraine/village-727
729,pyatka-piatka-zhytomyr-ukraine,Pyatka (Piatka),Ukraine,50.016258,28.225361,Execution of  Jews in Pyatka,1 Killing site(s),Close to the river,Yes,1941-1943,About 250,,"Arseniy SH., born in 1928, remembers: “Before being, shot all the Jews were gathered in the center, near the synagogue and from there they marched until the pit. There were two pits dug, one close to another, on the foot of the hill. They were not far away from the center of the village, about 500m away. Beforehand, all the Jews were told to take their belongings with them under the pretext of being transported somewhere, but, I think, they knew already that they would be killed. Once there, the Jews had to disrobe to their underwear at the top of the hill and get down to the pit. They also were forced to take off all their valuables and gold things and put them into the boxes nearby.”  (Eyewitness n°1718, interviewed in Pyatka, on June 1, 2013)","Pyatka is located on the bank of the Pyatok river 34km southwest of Zhytomyr. Before the war, the Jewish population was not significant and represented only 20% of all inhabitants. According to the witnesses’ accounts, all the Jews lived in the center, one close to another. There were traders and craftsmen among them. They owned workshops of fabrication of clothing, hats. Witness n°1718 remembers that there was a Jew who made bricks, 20x20 in size, and sold them to England. Some of the Jews owned or worked in the factories, like leather factories or furniture factories. There was a wooden synagogue and a Jewish cemetery. There was a Jewish school located in the same building as the synagogue, but several witnesses confirmed that Jewish children were also sent to the Ukrainian school. The village was occupied by German forces in early July 1941. By that time some Jews evacuated and young men were enrolled in the Soviet army.  According to some sources, only 250 Jews stayed in the village at the moment of the occupation.","Straight after the German arrival, all Jews were marked with armbands and any contact with the local population was not allowed. The first anti-Jewish Aktion was conducted in August during which several men were rounded-up and killed in the park of Chudniv. After that, all the Jews were confined within the synagogue. According to the historical sources and local witnesses interviewed by Yahad, they remained there for a while until the liquidation in late October 1941. During that time, they were subjected to farm work. During the liquidation action, over 200 Jews were murdered by mobile unit Einsatzkommando 5 aided by local police. For more detail about the execution of Jews in Chudniv please refer to the corresponding profile.",http://www.yahadmap.org/en/pyatka-piatka-zhytomyr-ukraine/village-729
730,krasnopil-zhytomyr-ukraine,Krasnopil,Ukraine,49.496811,28.038231,Execution of Jews in Krasnopil,1 Killing site(s),Ravine,No,1941-1943,2,,"Boris K., born in 1929, recounted: “Once the Germans arrived, they installed their administration. A local police force was created. It numbered about 20 policemen. There were local people and also Volksdeutschers, who were enrolled in the police. The Germans set up a Kommandantur and named a Kommandant. It was the district chief. He wore a brown uniform. He used to walk on the streets with his dog and beat people if he didn’t like something. Once the Jews were taken, local policemen took down the Jewish houses in order to build their own. After the war, the policemen were judged and sentenced to death or deportation as was the Kommandant.” (Witness N°1720, interviewed in Krasnopil, On June 6, 2013).","Krasnopil is situated 70km southwest of Zhytomyr. According to the witness, before the war there were about fifty Jewish families living in the village. There was a synagogue. The majority of local Jews were involved in commerce and handcrafts. The village was occupied by Germans in early July 1941.","There is little information about the Holocaust in Krasnopil in the archives. According to the archives and field research, no ghetto was created. Yet, the witness interviewed by Yahad mentioned that all the Jews were forced to wear distinguishing signs. The local witnesses didn’t confirm the execution of 37 Jews mentioned in the archives. Apparently, all the Jews were taken to the camp in Berdychiv. However, we were able to identify the execution site of two Jewish men, who remained in hiding for a while and were later denounced by locals. They were shot separately, in pits they had dug themselves, by a German who arrived from another town.",http://www.yahadmap.org/en/krasnopil-zhytomyr-ukraine/village-730
